NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,Is_Feature_Envy
1,0,5,4,66,8,0,1,0,0,3,TRUE
5,0,13,8,101,17,0,2,0.307692,4,17,TRUE
3,0,11,6,100,15,0,2,0.181818,4,20,TRUE
1,0,29,28,144,29,12,0,0.448276,0,25,TRUE
2,0,6,6,116,28,0,1,0,2,6,TRUE
7,0,17,13,150,27,0,1,0.117647,2,12,TRUE
18,0,38,28,674,155,0,0,0.421053,4,26,TRUE
53,0,155,130,1506,358,0,1,0.154839,2,59,TRUE
98,0,221,179,2491,582,0,1,0.158371,6,77,TRUE
15,0,40,36,356,86,0,1,0.075,2,8,TRUE
17,0,50,40,744,139,0,1,0.1,4,29,TRUE
139,0,225,156,2790,712,0,2,0.071111,6,112,TRUE
17,0,56,46,736,120,0,0,0.321429,3,17,TRUE
22,0,18,11,207,45,0,2,0.111111,1,13,TRUE
1,0,4,0,163,18,0,1,0,1,4,TRUE
53,2,65,42,1809,372,0,2,0.092308,4,65,TRUE
4,0,8,6,66,14,0,0,0.25,3,11,TRUE
26,1,53,34,733,145,0,1,0.207547,5,42,TRUE
12,0,7,0,520,104,2,3,0,1,22,TRUE
7,0,21,18,296,65,2,2,0.666667,0,18,TRUE
5,3,14,13,189,40,0,0,0.214286,19,7,TRUE
1,0,11,11,81,11,0,0,0.272727,19,2,TRUE
4,0,53,50,391,88,0,2,0.075472,1,6,TRUE
18,0,20,4,301,36,0,1,0.1,0,6,TRUE
5,3,8,6,174,30,0,1,0.375,1,21,TRUE
18,7,66,46,1073,199,0,2,0.212121,3,33,TRUE
5,3,8,6,169,29,0,1,0.375,1,20,TRUE
43,0,55,41,516,106,0,1,0.218182,3,28,TRUE
2,0,24,24,114,30,0,1,0,4,4,TRUE
4,0,20,16,94,26,0,1,0.15,2,15,TRUE
30,0,156,146,1285,305,0,2,0.134615,6,50,TRUE
3,0,4,4,22,6,0,2,0.5,3,2,TRUE
7,0,133,115,835,216,0,1,0.045113,22,14,TRUE
27,2,75,40,1300,279,0,1,0.133333,75,43,TRUE
6,0,21,19,189,43,0,1,0.285714,3,13,TRUE
5,0,18,16,145,37,0,1,0.166667,1,9,TRUE
5,0,37,31,459,124,0,1,0.432432,6,48,TRUE
5,0,15,15,68,16,0,1,0.333333,2,8,TRUE
14,0,124,121,580,164,0,2,0.403226,1,23,TRUE
5,0,47,46,150,49,0,2,0.851064,1,14,TRUE
14,0,79,70,445,114,0,1,0.151899,9,29,TRUE
2,0,10,10,107,19,0,2,0,1,7,TRUE
1,0,15,15,74,18,0,1,0.333333,1,11,TRUE
8,0,21,18,194,33,0,1,0.333333,5,20,TRUE
1,0,9,9,39,9,0,1,0,20,3,TRUE
23,0,117,107,895,203,0,1,0.461538,19,71,TRUE
5,0,14,9,100,22,0,1,0.214286,1,10,TRUE
7,6,118,116,579,148,0,2,0.872881,3,24,TRUE
1,0,36,34,219,52,0,1,0.972222,2,13,TRUE
4,3,28,26,165,41,0,1,0.857143,2,8,TRUE
4,2,114,112,468,124,0,1,0.964912,2,9,TRUE
6,3,63,59,287,73,0,1,0.968254,4,17,TRUE
4,0,7,3,115,22,0,0,0.285714,0,11,TRUE
1,0,22,20,145,29,0,1,0.954545,2,10,TRUE
1,0,25,23,124,32,0,2,0.96,2,12,TRUE
1,0,11,9,130,22,0,1,0.909091,2,9,TRUE
1,0,15,15,197,39,0,3,0.733333,0,11,TRUE
2,0,30,29,295,49,0,2,0.833333,1,16,TRUE
2,0,18,16,237,38,0,1,0.555556,2,9,TRUE
7,0,30,28,224,65,1,1,0.166667,1,7,TRUE
15,3,44,40,508,135,1,0,0.068182,3,8,TRUE
4,0,14,13,175,43,0,1,0.285714,1,5,TRUE
2,0,9,9,48,13,0,2,0.222222,1,4,TRUE
3,0,4,4,86,12,0,0,0,1,5,TRUE
58,0,91,73,1352,266,0,1,0.241758,5,53,TRUE
4,0,16,12,114,20,0,2,0.5,5,8,TRUE
2,0,13,12,147,41,0,2,0.307692,2,14,TRUE
51,1,57,49,489,101,0,1,0.087719,1,8,TRUE
19,1,30,19,465,75,0,2,0,2,11,TRUE
8,3,17,13,176,26,0,1,0.294118,7,10,TRUE
18,0,18,12,392,50,0,2,0.388889,1,16,TRUE
13,2,31,22,406,111,0,1,0.225806,8,50,TRUE
3,0,8,7,73,16,0,1,0,1,9,TRUE
3,1,7,7,75,13,0,4,0.571429,2,10,TRUE
2,0,4,4,51,10,0,1,0,1,7,TRUE
20,0,28,27,509,115,0,2,0.321429,1,21,TRUE
12,2,31,28,325,72,0,3,0.225806,3,31,TRUE
44,1,33,24,794,133,0,2,0.181818,2,30,TRUE
4,0,38,27,400,85,0,3,0.315789,0,34,TRUE
6,1,14,13,106,26,0,3,0.357143,1,11,TRUE
11,0,18,12,308,77,0,2,0,0,21,TRUE
5,1,11,10,113,30,0,3,0.363636,1,12,TRUE
9,1,9,5,108,18,0,2,0,1,15,TRUE
28,0,22,19,299,67,0,0,0.136364,2,8,TRUE
97,1,276,228,4195,1013,1,3,0.123188,18,79,TRUE
6,1,6,5,152,33,0,0,0,4,12,TRUE
17,0,30,27,315,64,0,2,0.166667,2,25,TRUE
12,6,25,15,721,111,0,1,0.16,2,36,TRUE
7,0,20,12,206,31,0,2,0.55,4,6,TRUE
49,4,95,67,1476,203,0,0,0.210526,6,59,TRUE
34,4,66,41,1138,163,0,0,0.19697,1,46,TRUE
107,39,184,173,2476,391,0,0,0.304348,19,87,TRUE
48,4,81,45,1223,156,0,0,0.271605,3,23,TRUE
1,0,3,3,30,6,0,0,0,2,1,TRUE
5,0,34,21,399,69,5,3,0.323529,0,21,TRUE
50,9,126,104,1546,250,0,1,0.174603,148,62,TRUE
3,0,4,4,72,5,0,0,0,1,2,TRUE
2,0,19,19,120,19,0,0,0.947368,9,2,TRUE
7,0,30,30,389,99,0,0,0.766667,0,15,TRUE
10,0,56,36,458,73,2,2,0.267857,3,20,TRUE
50,0,116,87,1398,185,0,0,0.37931,5,41,TRUE
20,1,27,22,528,83,0,0,0.074074,3,17,TRUE
32,0,56,43,661,105,0,0,0.178571,14,20,TRUE
2,0,17,9,452,42,0,0,0.882353,1,21,TRUE
2,0,15,8,424,38,0,0,0.2,1,18,TRUE
1,0,8,8,73,12,0,2,0.25,0,3,TRUE
3,0,10,7,116,22,1,1,0.4,0,8,TRUE
54,5,112,83,2009,351,1,0,0.1875,85,46,TRUE
3,1,13,13,126,18,0,1,0.461538,1,12,TRUE
2,2,1,1,30,4,0,1,0,1,4,TRUE
2,0,9,9,113,18,0,1,0.888889,1,6,TRUE
44,0,137,114,1927,382,2,3,0.189781,179,31,TRUE
2,0,40,38,266,47,1,2,0.475,0,8,TRUE
2,0,22,22,180,29,0,0,0,1,6,TRUE
8,0,36,18,403,64,0,3,0.527778,3,10,TRUE
7,0,35,17,385,63,0,3,0.6,4,10,TRUE
10,0,41,19,595,117,0,3,0.585366,3,21,TRUE
6,0,33,17,363,60,0,3,0.606061,4,10,TRUE
6,0,35,18,382,64,0,3,0.628571,5,10,TRUE
6,0,69,41,691,109,21,2,0.710145,18,34,TRUE
1,0,6,4,70,9,0,0,0.833333,2,8,TRUE
2,0,60,60,701,64,1,0,0.233333,1,2,TRUE
27,0,24,2,593,119,0,0,0,4,4,TRUE
